Table with row headers in column A and column headers in rows 5 through 6,,,,,,,,,,,,,,,,
"Table 1. Educational Attainment of the Population 18 Years and Over, by Age, Sex, Race, and Hispanic Origin: 2022",,,,,,,,,,,,,,,,
(Numbers in thousands. Civilian noninstitutionalized population.1),,,,,,,,,,,,,,,,
White Alone,,,,,,,,,,,,,,,,
Characteristic,Educational attainment,,,,,,,,,,,,,,,
,Total,None,1st - 4th grade,5th - 6th grade,7th - 8th grade,9th grade,10th grade,11th grade2,High school graduate3,"Some college, no degree","Associate's degree, occupational","Associate's degree, academic",Bachelor's degree,Master's degree,Professional degree,Doctoral degree
Both Sexes,,,,,,,,,,,,,,,,
	 18 years and over,"197,216",503,"1,242","2,271","2,555","2,342","2,574","6,929","57,302","32,196","8,505","11,533","44,447","18,471","2,789","3,557"
		  18 to 24 years,"21,317",28,35,59,176,158,357,"2,490","7,401","6,627",497,845,"2,447",172,22,4
	 25 years and over,"175,898",475,"1,207","2,212","2,379","2,184","2,217","4,439","49,902","25,569","8,008","10,689","42,000","18,299","2,766","3,553"
		  25 to 29 years,"15,859",12,29,57,162,120,117,398,"4,470","2,524",662,956,"4,838","1,203",136,176
		  30 to 34 years,"16,636",22,49,123,153,193,201,437,"4,131","2,374",672,"1,103","4,949","1,737",194,299
		  35 to 39 years,"16,443",53,65,148,214,203,202,455,"4,058","2,295",692,991,"4,374","2,022",284,388
		  40 to 44 years,"15,956",39,82,277,232,285,215,415,"4,018","2,054",657,953,"4,043","1,997",340,347
		  45 to 49 years,"14,700",29,91,284,233,229,193,342,"3,681","2,023",753,859,"3,625","1,809",250,298
		  50 to 54 years,"16,056",31,121,261,236,245,175,399,"4,461","2,059",801,915,"3,994","1,819",214,327
		  55 to 59 years,"16,629",76,148,211,203,192,228,393,"5,033","2,330",891,"1,183","3,738","1,465",213,326
		  60 to 64 years,"17,074",44,132,219,208,176,239,433,"5,522","2,525",851,"1,049","3,568","1,550",276,283
		  65 to 69 years,"15,086",48,105,189,190,152,179,357,"4,501","2,355",757,"1,045","3,095","1,526",240,347
		  70 to 74 years,"12,509",25,139,138,145,128,139,271,"3,409","2,275",591,779,"2,512","1,410",242,307
	 75 years and over,"18,950",97,246,306,403,261,329,540,"6,618","2,755",681,856,"3,263","1,762",378,455
Male,,,,,,,,,,,,,,,,
	 18 years and over,"97,460",289,675,"1,176","1,339","1,284","1,388","3,671","29,911","15,894","4,275","4,889","21,320","7,815","1,529","2,007"
		  18 to 24 years,"10,827",18,23,46,107,107,195,"1,293","4,223","3,123",256,342,"1,017",64,13,0
	 25 years and over,"86,633",272,652,"1,130","1,232","1,177","1,193","2,377","25,688","12,771","4,019","4,547","20,303","7,751","1,515","2,007"
		  25 to 29 years,"8,056",6,20,37,88,70,65,216,"2,559","1,425",291,444,"2,319",404,47,64
		  30 to 34 years,"8,404",9,31,72,70,123,114,224,"2,337","1,304",346,486,"2,429",643,89,129
		  35 to 39 years,"8,381",28,30,77,113,117,97,241,"2,403","1,230",368,452,"2,123",805,129,171
		  40 to 44 years,"8,132",33,46,165,143,144,110,226,"2,324","1,109",366,385,"1,911",857,142,171
		  45 to 49 years,"7,421",25,51,133,124,109,111,210,"2,109","1,085",397,347,"1,737",707,120,155
