Table with row headers in column A and column headers in rows 5 through 6,,,,,,,,,,,,,,,,
"Table 1. Educational Attainment of the Population 18 Years and Over, by Age, Sex, Race, and Hispanic Origin: 2022",,,,,,,,,,,,,,,,
(Numbers in thousands. Civilian noninstitutionalized population.1),,,,,,,,,,,,,,,,
Black Alone,,,,,,,,,,,,,,,,
Characteristic,Educational attainment,,,,,,,,,,,,,,,
,Total,None,1st - 4th grade,5th - 6th grade,7th - 8th grade,9th grade,10th grade,11th grade2,High school graduate3,"Some college, no degree","Associate's degree, occupational","Associate's degree, academic",Bachelor's degree,Master's degree,Professional degree,Doctoral degree
Both Sexes,,,,,,,,,,,,,,,,
	 18 years and over,"32,789",82,119,179,301,323,481,"2,011","11,368","6,365","1,390","1,964","5,190","2,321",281,413
		  18 to 24 years,"4,224",8,5,8,9,30,53,546,"1,762","1,268",95,117,293,29,0,0
	 25 years and over,"28,565",74,114,171,292,292,428,"1,465","9,606","5,097","1,295","1,847","4,897","2,292",281,413
		  25 to 29 years,"3,276",2,0,11,17,8,35,92,"1,253",686,93,152,732,147,34,15
		  30 to 34 years,"3,428",1,2,1,19,12,28,145,"1,140",691,163,270,615,286,36,19
		  35 to 39 years,"3,022",12,9,3,10,23,51,129,864,539,149,233,618,271,47,63
		  40 to 44 years,"2,847",0,23,16,21,15,42,115,826,473,161,158,573,325,35,64
		  45 to 49 years,"2,568",9,3,8,2,27,25,102,827,450,146,165,472,272,25,35
		  50 to 54 years,"2,656",6,7,11,26,34,27,143,941,399,115,201,416,266,24,40
		  55 to 59 years,"2,606",4,4,12,15,29,39,169,939,449,119,176,404,200,20,28
		  60 to 64 years,"2,488",6,11,21,30,34,53,193,818,457,109,174,356,149,29,48
		  65 to 69 years,"2,052",9,11,19,37,28,37,144,681,404,109,125,259,140,10,40
		  70 to 74 years,"1,553",9,25,21,24,18,36,71,545,258,51,95,240,130,5,25
	 75 years and over,"2,070",16,19,47,91,64,57,163,772,290,80,98,212,107,17,37
Male,,,,,,,,,,,,,,,,
	 18 years and over,"15,085",34,62,92,146,165,255,984,"5,833","2,839",576,772,"2,235",817,126,148
		  18 to 24 years,"2,035",0,0,4,4,19,28,280,891,613,43,38,110,7,0,0
	 25 years and over,"13,049",34,62,88,142,146,228,705,"4,942","2,227",533,734,"2,125",811,126,148
		  25 to 29 years,"1,587",2,0,9,9,4,21,48,699,305,34,65,332,38,22,Z
		  30 to 34 years,"1,627",1,1,1,17,2,9,65,607,317,71,138,259,113,22,4
		  35 to 39 years,"1,427",6,8,0,8,13,37,78,448,244,66,80,320,93,16,10
		  40 to 44 years,"1,315",0,12,6,11,9,26,63,469,237,47,65,227,97,15,32
		  45 to 49 years,"1,176",8,1,3,0,15,17,45,434,197,67,64,209,96,9,11
		  50 to 54 years,"1,223",3,3,7,10,12,14,68,503,177,53,73,196,69,13,21
		  55 to 59 years,"1,208",0,0,10,9,18,24,76,495,195,48,66,173,79,7,9
		  60 to 64 years,"1,065",4,10,4,20,17,21,103,416,163,41,52,116,67,9,20
		  65 to 69 years,950,2,4,7,19,20,20,77,350,161,51,59,113,57,2,8
		  70 to 74 years,668,3,18,12,10,7,15,25,222,122,20,39,98,56,4,15
	 75 years and over,803,6,5,29,31,27,24,55,298,109,34,33,83,46,6,17
Female,,,,,,,,,,,,,,,,
	 18 years and over,"17,704",49,57,87,155,158,226,"1,026","5,535","3,526",813,"1,192","2,955","1,504",155,265
		  18 to 24 years,"2,189",8,5,3,5,11,25,267,872,656,52,79,183,23,0,0
	 25 years and over,"15,516",40,52,84,150,147,201,760,"4,664","2,870",762,"1,113","2,772","1,481",155,265
		  25 to 29 years,"1,688",0,0,3,8,4,14,44,553,381,59,87,401,109,11,14
		  30 to 34 years,"1,802",0,1,0,2,10,20,79,532,374,92,132,356,173,14,15
		  35 to 39 years,"1,595",6,2,3,2,10,14,50,416,295,83,153,299,177,31,53
		  40 to 44 years,"1,532",0,11,9,10,5,16,52,357,236,114,93,347,229,20,32
		  45 to 49 years,"1,392",1,2,6,2,12,8,57,392,254,79,102,263,176,16,24
		  50 to 54 years,"1,432",4,4,4,16,21,13,75,438,222,61,128,220,197,11,19
		  55 to 59 years,"1,398",4,4,2,6,11,15,93,444,254,70,110,232,121,13,19
		  60 to 64 years,"1,423",3,1,17,10,17,32,89,402,294,68,121,239,82,20,27
		  65 to 69 years,"1,102",7,7,12,18,8,16,67,331,243,57,66,146,83,8,33
		  70 to 74 years,885,6,7,9,14,11,20,46,323,136,31,56,141,74,1,9
	 75 years and over,"1,267",10,14,18,60,37,33,108,474,181,46,64,129,61,11,20
"""Z"" represents rounds to zero. 0 represents true zero.",,,,,,,,,,,,,,,,
1 Plus armed forces living off post or with their families on post.,,,,,,,,,,,,,,,,
2 Respondents who have completed 12th grade but did not receive a diploma are included in this category.,,,,,,,,,,,,,,,,
3 Includes people who earned GEDs.,,,,,,,,,,,,,,,,
Details may not sum to totals due to rounding.,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2022 Annual Social and Economic Supplement (CPS ASEC).",,,,,,,,,,,,,,,,
"Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar22.pdf>.",,,,,,,,,,,,,,,,
