Table with row headers in column A and column headers in rows 5 through 6,,,,,,,,,,,,,,,,
"Table 1. Educational Attainment of the Population 18 Years and Over, by Age, Sex, Race, and Hispanic Origin: 2022",,,,,,,,,,,,,,,,
(Numbers in thousands. Civilian noninstitutionalized population.1),,,,,,,,,,,,,,,,
Hispanic (any race),,,,,,,,,,,,,,,,
Characteristic,Educational attainment,,,,,,,,,,,,,,,
,Total,None,1st - 4th grade,5th - 6th grade,7th - 8th grade,9th grade,10th grade,11th grade2,High school graduate3,"Some college, no degree","Associate's degree, occupational","Associate's degree, academic",Bachelor's degree,Master's degree,Professional degree,Doctoral degree
Both Sexes,,,,,,,,,,,,,,,,
	 18 years and over,"43,835",445,"1,178","2,155","1,463","1,528",960,"2,680","14,886","6,761","1,561","2,025","5,825","1,745",339,282
		  18 to 24 years,"7,011",21,32,38,46,90,158,899,"2,843","1,983",147,259,477,9,9,0
	 25 years and over,"36,824",424,"1,146","2,118","1,417","1,438",803,"1,781","12,043","4,778","1,414","1,766","5,348","1,737",330,282
		  25 to 29 years,"4,815",10,29,67,107,92,54,222,"1,714",868,159,291,998,169,26,11
		  30 to 34 years,"4,638",19,54,124,72,152,97,243,"1,557",769,184,284,773,254,29,27
		  35 to 39 years,"4,495",36,79,154,163,167,123,274,"1,537",586,149,221,661,266,43,34
		  40 to 44 years,"4,461",37,107,286,190,216,115,229,"1,531",495,162,208,600,221,39,25
		  45 to 49 years,"3,998",32,77,275,181,192,91,180,"1,310",446,190,165,546,234,39,39
		  50 to 54 years,"3,579",35,119,259,159,175,60,173,"1,107",406,155,141,540,180,35,35
		  55 to 59 years,"3,056",70,139,210,131,123,75,130,957,363,122,129,420,120,35,32
		  60 to 64 years,"2,569",46,124,205,125,96,67,129,786,328,98,118,308,86,30,23
		  65 to 69 years,"1,746",38,103,170,92,69,44,63,472,205,78,95,201,82,12,23
		  70 to 74 years,"1,420",21,120,128,66,72,32,46,400,163,55,73,151,62,7,23
	 75 years and over,"2,046",81,196,241,131,83,44,92,672,150,65,40,148,62,33,9
Male,,,,,,,,,,,,,,,,
	 18 years and over,"21,951",256,648,"1,130",763,794,510,"1,426","8,003","3,180",688,871,"2,675",711,167,128
		  18 to 24 years,"3,550",14,22,27,29,67,93,488,"1,566",878,58,111,197,1,0,0
	 25 years and over,"18,400",242,627,"1,103",734,726,417,938,"6,437","2,302",630,761,"2,478",710,167,128
		  25 to 29 years,"2,460",5,22,41,65,59,38,116,964,443,61,121,450,60,11,4
		  30 to 34 years,"2,350",4,30,83,43,92,47,116,872,372,76,140,360,88,17,8
		  35 to 39 years,"2,307",23,40,85,82,85,56,149,873,281,87,100,302,118,17,11
		  40 to 44 years,"2,330",33,63,160,118,107,60,115,907,232,86,87,254,77,14,17
		  45 to 49 years,"2,032",25,43,135,95,89,48,105,701,224,93,67,278,93,21,14
		  50 to 54 years,"1,804",22,74,146,79,91,42,100,602,189,53,50,238,81,23,15
		  55 to 59 years,"1,498",41,88,124,66,48,40,71,482,152,52,61,193,49,14,18
		  60 to 64 years,"1,293",22,78,100,55,49,38,83,398,157,43,51,151,41,13,14
		  65 to 69 years,797,16,45,89,46,35,15,18,209,109,25,31,90,43,10,16
		  70 to 74 years,648,11,63,47,27,31,14,22,179,83,24,34,69,30,4,10
	 75 years and over,880,40,81,94,58,41,20,44,250,60,29,19,93,30,22,1
Female,,,,,,,,,,,,,,,,
	 18 years and over,"21,884",189,529,"1,025",700,734,451,"1,254","6,884","3,581",873,"1,153","3,150","1,034",172,154
		  18 to 24 years,"3,460",8,10,11,17,23,65,411,"1,277","1,105",90,148,281,7,9,0
	 25 years and over,"18,424",182,519,"1,015",683,712,386,843,"5,607","2,476",784,"1,005","2,870","1,027",163,154
		  25 to 29 years,"2,355",5,7,25,42,34,15,107,749,424,98,170,548,109,15,7
		  30 to 34 years,"2,287",15,23,40,29,60,51,127,686,396,107,144,413,166,11,19
		  35 to 39 years,"2,188",13,40,70,81,82,68,125,664,305,61,122,360,149,26,23
		  40 to 44 years,"2,131",4,44,126,72,110,55,113,624,263,75,121,347,144,24,8
		  45 to 49 years,"1,966",7,34,140,86,102,43,76,609,221,97,98,268,141,19,25
		  50 to 54 years,"1,776",13,45,113,80,84,18,73,505,217,102,92,302,99,13,20
		  55 to 59 years,"1,558",29,51,85,65,75,34,59,475,212,70,69,227,71,21,14
		  60 to 64 years,"1,276",23,46,106,70,47,29,45,388,171,55,67,157,45,17,9
		  65 to 69 years,950,22,58,81,45,35,29,46,263,96,53,64,111,39,2,7
		  70 to 74 years,772,10,57,81,39,42,17,24,221,80,30,39,82,33,3,14
	 75 years and over,"1,166",41,115,147,73,42,24,48,423,90,35,21,55,32,11,8
"""Z"" represents rounds to zero. 0 represents true zero.",,,,,,,,,,,,,,,,
1 Plus armed forces living off post or with their families on post.,,,,,,,,,,,,,,,,
2 Respondents who have completed 12th grade but did not receive a diploma are included in this category.,,,,,,,,,,,,,,,,
3 Includes people who earned GEDs.,,,,,,,,,,,,,,,,
Details may not sum to totals due to rounding.,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2022 Annual Social and Economic Supplement (CPS ASEC).",,,,,,,,,,,,,,,,
"Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar22.pdf>.",,,,,,,,,,,,,,,,
