Table with row headers in column A and column headers in rows 5 through 6,,,,,,,,,,,,,,,,
"Table 1. Educational Attainment of the Population 18 Years and Over, by Age, Sex, Race, and Hispanic Origin: 2022",,,,,,,,,,,,,,,,
(Numbers in thousands. Civilian noninstitutionalized population.1),,,,,,,,,,,,,,,,
White Alone or in Combination,,,,,,,,,,,,,,,,
Characteristic,Educational attainment,,,,,,,,,,,,,,,
,Total,None,1st - 4th grade,5th - 6th grade,7th - 8th grade,9th grade,10th grade,11th grade2,High school graduate3,"Some college, no degree","Associate's degree, occupational","Associate's degree, academic",Bachelor's degree,Master's degree,Professional degree,Doctoral degree
Both Sexes,,,,,,,,,,,,,,,,
	 18 years and over,"201,571",528,"1,280","2,312","2,612","2,404","2,633","7,182","58,502","33,085","8,712","11,814","45,293","18,782","2,815","3,616"
		  18 to 24 years,"22,282",32,36,59,179,162,371,"2,628","7,743","6,959",516,862,"2,522",186,22,4
	 25 years and over,"179,289",496,"1,244","2,253","2,433","2,242","2,263","4,554","50,759","26,125","8,196","10,953","42,770","18,596","2,793","3,612"
		  25 to 29 years,"16,427",12,36,60,162,132,124,422,"4,628","2,619",686,"1,008","4,982","1,232",141,184
		  30 to 34 years,"17,202",24,53,126,156,196,203,445,"4,256","2,478",709,"1,158","5,084","1,809",197,309
		  35 to 39 years,"16,898",53,70,150,225,205,209,473,"4,164","2,359",712,"1,024","4,516","2,060",287,392
		  40 to 44 years,"16,263",39,84,277,239,292,219,420,"4,080","2,098",684,965,"4,141","2,027",341,355
		  45 to 49 years,"15,001",32,91,290,245,235,193,351,"3,743","2,078",770,886,"3,680","1,852",250,304
		  50 to 54 years,"16,294",31,121,263,242,247,180,404,"4,545","2,091",813,928,"4,031","1,845",219,336
		  55 to 59 years,"16,875",90,154,214,205,195,236,402,"5,111","2,351",904,"1,207","3,788","1,475",218,326
		  60 to 64 years,"17,277",44,132,224,210,178,239,447,"5,571","2,581",864,"1,071","3,593","1,562",276,285
		  65 to 69 years,"15,287",50,108,193,193,165,186,370,"4,546","2,389",766,"1,057","3,142","1,533",240,349
		  70 to 74 years,"12,645",25,139,146,149,134,139,275,"3,441","2,304",602,787,"2,528","1,423",242,312
	 75 years and over,"19,120",97,256,311,407,264,335,546,"6,673","2,777",685,862,"3,286","1,778",382,462
Male,,,,,,,,,,,,,,,,
	 18 years and over,"99,537",299,698,"1,197","1,362","1,320","1,418","3,821","30,579","16,292","4,387","5,008","21,666","7,926","1,541","2,024"
