Table with row headers in column A and column headers in rows 5 through 6,,,,,,,,,,,,,,,,
"Table 1. Educational Attainment of the Population 18 Years and Over, by Age, Sex, Race, and Hispanic Origin: 2022",,,,,,,,,,,,,,,,
(Numbers in thousands. Civilian noninstitutionalized population.1),,,,,,,,,,,,,,,,
Asian Alone or in Combination,,,,,,,,,,,,,,,,
Characteristic,Educational attainment,,,,,,,,,,,,,,,
,Total,None,1st - 4th grade,5th - 6th grade,7th - 8th grade,9th grade,10th grade,11th grade2,High school graduate3,"Some college, no degree","Associate's degree, occupational","Associate's degree, academic",Bachelor's degree,Master's degree,Professional degree,Doctoral degree
Both Sexes,,,,,,,,,,,,,,,,
	 18 years and over,"17,839",138,106,225,223,131,139,444,"3,314","2,150",428,740,"5,613","2,984",382,822
		  18 to 24 years,"2,151",0,0,0,4,2,21,190,373,869,22,94,488,70,11,7
	 25 years and over,"15,687",138,106,225,219,128,119,254,"2,942","1,281",406,645,"5,125","2,914",371,816
		  25 to 29 years,"1,649",0,Z,3,7,1,5,8,217,170,35,74,660,423,25,22
		  30 to 34 years,"1,996",0,5,3,8,5,8,15,260,173,42,91,659,492,59,178
		  35 to 39 years,"1,858",8,3,5,6,3,2,27,297,147,30,89,654,435,66,88
		  40 to 44 years,"1,692",8,11,8,15,Z,5,7,243,152,52,63,618,359,46,103
		  45 to 49 years,"1,618",8,11,4,26,5,18,18,254,116,31,56,514,411,56,88
		  50 to 54 years,"1,460",9,6,14,33,13,17,45,286,84,42,44,506,253,24,85
		  55 to 59 years,"1,225",17,10,12,24,14,17,28,299,100,44,68,339,151,22,80
		  60 to 64 years,"1,179",22,7,31,16,7,19,24,323,107,40,62,342,117,18,41
		  65 to 69 years,"1,008",12,14,35,38,31,7,26,287,73,24,36,289,81,19,35
		  70 to 74 years,824,11,6,38,17,38,5,10,207,74,20,32,230,101,10,25
	 75 years and over,"1,179",43,33,72,29,11,16,46,268,83,46,31,316,90,26,69
Male,,,,,,,,,,,,,,,,
	 18 years and over,"8,429",45,36,78,103,53,65,213,"1,534","1,086",201,294,"2,554","1,498",204,465
		  18 to 24 years,"1,075",0,0,0,2,1,9,105,194,464,13,29,218,37,0,5
	 25 years and over,"7,354",45,36,78,101,52,55,109,"1,340",622,188,265,"2,336","1,462",204,460
		  25 to 29 years,805,0,0,0,1,1,1,2,118,84,15,28,296,230,16,13
		  30 to 34 years,986,0,0,3,5,1,5,3,142,96,14,43,304,246,31,93
		  35 to 39 years,858,5,0,2,4,1,1,20,158,68,21,35,270,189,29,55
		  40 to 44 years,800,1,5,2,9,Z,3,4,125,81,22,14,295,165,25,47
		  45 to 49 years,768,1,5,0,16,2,5,8,123,49,14,19,242,207,34,42
		  50 to 54 years,679,3,3,7,17,5,11,15,125,44,19,22,221,130,12,44
		  55 to 59 years,571,2,6,9,13,6,12,15,112,52,12,25,158,81,10,58
		  60 to 64 years,537,6,5,9,9,6,6,13,135,42,29,33,144,64,11,25
		  65 to 69 years,451,4,2,11,15,18,5,10,109,34,14,16,131,47,13,22
		  70 to 74 years,356,8,3,14,5,11,Z,6,86,27,8,13,100,55,5,14
	 75 years and over,544,15,7,20,8,1,6,12,106,45,20,16,174,47,18,48
Female,,,,,,,,,,,,,,,,
	 18 years and over,"9,409",92,70,147,120,77,75,231,"1,780","1,064",227,446,"3,059","1,486",178,357
		  18 to 24 years,"1,076",0,0,0,2,1,11,85,179,405,9,66,271,34,11,2
	 25 years and over,"8,334",92,70,147,118,76,64,145,"1,601",659,218,380,"2,789","1,452",166,355
		  25 to 29 years,844,0,Z,3,5,1,4,6,99,86,20,46,364,193,9,10
		  30 to 34 years,"1,011",0,5,0,3,4,3,12,117,77,28,47,354,246,28,85
		  35 to 39 years,"1,000",3,3,2,2,2,1,7,139,80,8,54,383,245,37,33
		  40 to 44 years,892,7,6,6,6,0,2,3,118,71,31,49,323,194,21,56
		  45 to 49 years,850,7,6,4,10,3,13,10,131,67,17,37,271,204,22,46
		  50 to 54 years,780,6,3,7,16,8,6,29,161,40,23,21,285,123,11,42
		  55 to 59 years,654,16,3,3,11,8,5,13,187,48,32,43,180,70,12,23
		  60 to 64 years,642,16,3,22,7,1,13,12,188,66,12,29,198,54,8,16
		  65 to 69 years,557,7,13,24,23,13,3,16,178,39,10,20,158,34,5,14
		  70 to 74 years,468,3,3,23,12,27,4,4,122,48,12,19,129,46,5,11
	 75 years and over,635,28,26,52,22,9,10,33,162,38,26,15,141,43,9,20
"""Z"" represents rounds to zero. 0 represents true zero.",,,,,,,,,,,,,,,,
1 Plus armed forces living off post or with their families on post.,,,,,,,,,,,,,,,,
2 Respondents who have completed 12th grade but did not receive a diploma are included in this category.,,,,,,,,,,,,,,,,
3 Includes people who earned GEDs.,,,,,,,,,,,,,,,,
Details may not sum to totals due to rounding.,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2022 Annual Social and Economic Supplement (CPS ASEC).",,,,,,,,,,,,,,,,
"Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar22.pdf>.",,,,,,,,,,,,,,,,
